seed,experiment,n_samples,n_pos,n_features_after_dummies,auprc,roc_auc,brier,balanced_accuracy,f1,threshold,tn,fp,fn,tp
42,composite_w(perspective=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24282892235072998,0.6637931034482758,0.5217391304347826,0.5797740224359277,24,5,6,6
42,composite_w(perspective=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2428639051054617,0.6637931034482758,0.5217391304347826,0.5797914152761032,24,5,6,6
42,composite_w(perspective=3.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.24292769947355924,0.6637931034482758,0.5217391304347826,0.5798187348619153,24,5,6,6
42,composite_w(sensory=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(sensory=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(sensory=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(sensory=3.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(arousal=1.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(arousal=1.5)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(arousal=2.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
42,composite_w(arousal=3.0)_only(+baseline),41,12,14,0.4736180889881079,0.5948275862068965,0.2427888056869785,0.6637931034482758,0.5217391304347826,0.5797534659468888,24,5,6,6
